timestep,reward
2,-0.4075
358,-0.299
732,-0.2285
1076,-0.1525
1464,-0.1825
1846,-0.1685
2224,-0.115
2614,-0.1545
2992,-0.1105
3422,-0.1325
3776,-0.1265
4128,-0.0955
4506,-0.1555
4900,-0.1165
5270,-0.13
5638,-0.127
5982,-0.1065
6376,-0.0955
6762,-0.06
7154,-0.1365
7564,-0.0895
7950,-0.0745
8350,-0.088
8746,-0.1165
9174,-0.116
9540,-0.0865
9892,-0.076
10284,-0.105
10636,-0.115
10996,-0.0995
11374,-0.091
11748,-0.105
12138,-0.07
12544,-0.055
12902,-0.047
13286,-0.0895
13658,-0.103
14036,-0.0995
14452,-0.0745
14846,-0.0785
15218,-0.1145
15596,-0.106
16000,-0.057
16348,-0.106
16746,-0.084
17148,-0.0895
17528,-0.095
17904,-0.0935
18252,-0.07
18624,-0.103
